iter	Passed	Remaining
0	179	179078
1	205	102341
2	231	76805
3	270	67271
4	292	58252
5	331	54857
6	364	51668
7	396	49212
8	438	48327
9	482	47722
10	549	49445
11	583	48034
12	620	47144
13	661	46571
14	696	45724
15	734	45151
16	783	45281
17	822	44866
18	860	44423
19	900	44146
20	938	43768
21	977	43474
22	1016	43183
23	1050	42726
24	1090	42512
25	1132	42423
26	1172	42237
27	1216	42241
28	1258	42123
29	1299	42005
30	1339	41858
31	1376	41630
32	1414	41440
33	1450	41217
34	1491	41116
35	1529	40948
36	1569	40839
37	1610	40771
38	1651	40687
39	1691	40595
40	1734	40563
41	1773	40455
42	1813	40355
43	1850	40211
44	1890	40129
45	1929	40025
46	1967	39901
47	2006	39802
48	2044	39679
49	2084	39601
50	2124	39536
51	2161	39407
52	2198	39285
53	2235	39157
54	2274	39075
55	2308	38919
56	2346	38821
57	2383	38711
58	2422	38642
59	2458	38516
60	2496	38426
61	2531	38305
62	2567	38180
63	2600	38033
64	2634	37893
65	2666	37741
66	2699	37596
67	2733	37468
68	2767	37339
69	2808	37318
70	2850	37293
71	2891	37267
72	2930	37219
73	2969	37164
74	3007	37095
75	3043	37004
76	3078	36896
77	3112	36797
78	3148	36703
79	3183	36610
80	3218	36520
81	3255	36445
82	3293	36383
83	3330	36313
84	3369	36269
85	3415	36303
86	3454	36251
87	3490	36177
88	3528	36121
89	3564	36041
90	3601	35979
91	3636	35891
92	3671	35802
93	3705	35713
94	3743	35662
95	3778	35576
96	3816	35526
97	3851	35449
98	3875	35270
99	3911	35204
100	3946	35129
101	3980	35046
102	4019	35007
103	4057	34960
104	4096	34917
105	4134	34874
106	4173	34832
107	4215	34815
108	4253	34769
109	4288	34696
110	4325	34640
111	4359	34563
112	4394	34491
113	4429	34427
114	4465	34366
115	4502	34311
116	4539	34260
117	4574	34194
118	4611	34136
119	4644	34059
120	4678	33987
121	4716	33944
122	4754	33896
123	4789	33836
124	4823	33766
125	4862	33725
126	4896	33658
127	4933	33610
128	4970	33561
129	5006	33507
130	5041	33444
131	5075	33375
132	5112	33327
133	5147	33269
134	5183	33211
135	5218	33152
136	5255	33108
137	5296	33084
138	5333	33039
139	5372	33004
140	5412	32973
141	5450	32934
142	5486	32882
143	5521	32822
144	5554	32754
145	5591	32705
146	5624	32638
147	5659	32578
148	5694	32521
149	5731	32478
150	5765	32414
151	5803	32377
152	5839	32329
153	5877	32290
154	5911	32227
155	5944	32161
156	5978	32101
157	6013	32047
158	6049	31999
159	6087	31957
160	6119	31889
161	6155	31843
162	6189	31781
163	6227	31745
164	6261	31687
165	6297	31637
166	6331	31579
167	6363	31515
168	6398	31464
169	6435	31422
170	6475	31391
171	6515	31364
172	6554	31330
173	6589	31283
