BattingTeam,Batter,battingStyles_x,venue,Phase,WicketDeliveries,EconomyRate,StrikeRate,BoundaryPercentage,Selected
Rajasthan Royals,SP Narine,,"Brabourne Stadium, Mumbai",MiddleOvers,0,9.052127592931592,11.871937044738262,12.469539096004596,1
Lucknow Super Giants,LB Williams,,"Arun Jaitley Stadium, Delhi",DeathOvers,0,10.235731887587853,14.366637824073566,26.532855994116886,1
Gujarat Titans,SP Jackson,rhb,"M Chinnaswamy Stadium, Bengaluru",MiddleOvers,0,7.647053321687284,25.610809318846822,51.82740462363644,0
Mumbai Indians,EJG Morgan,lhb,"Maharashtra Cricket Association Stadium, Pune",DeathOvers,0,13.345473734524298,15.673369849314671,39.41513592213012,0
Chennai Super Kings,KA Jamieson,rhb,Dubai International Cricket Stadium,MiddleOvers,1,10.604356180581835,21.750085746201457,33.87582894654173,1
Royal Challengers Bangalore,Shubman Gill,,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",DeathOvers,0,9.48686895904346,24.23115931197937,10.0,0
Punjab Kings,Arshad Khan (2),lhb,Sharjah Cricket Stadium,DeathOvers,1,9.94743875224821,13.849812461852665,47.0655460654344,1
Kings XI Punjab,AJ Hosein,lhb,"Eden Gardens, Kolkata",Powerplay,0,8.924451798464723,14.940439330338283,23.70930511891239,1
Lucknow Super Giants,R Ravindra,,"Wankhede Stadium, Mumbai",MiddleOvers,0,9.180352166777727,22.749175432186693,37.23784019201387,0
Lucknow Super Giants,Simarjeet Singh,lhb,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",MiddleOvers,0,9.44192739830242,21.410322034684857,42.946745362964194,0
Chennai Super Kings,Mohammad Nabi,rhb,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",DeathOvers,1,6.171016671316234,21.293406542143067,57.04546139379792,1
Kings XI Punjab,SE Rutherford,lhb,"Himachal Pradesh Cricket Association Stadium, Dharamsala",MiddleOvers,1,9.788886656559052,13.954693669489057,42.16329502864541,1
Delhi Capitals,FA Allen,,"Brabourne Stadium, Mumbai",DeathOvers,0,5.42809007144748,12.778837955557545,43.23015732241107,1
Kolkata Knight Riders,Sumit Kumar,lhb,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Powerplay,0,9.090160790314592,11.991624254384888,28.360119969297354,1
