Bowler,venue,BattingTeam,Phase,Batter,Innings,winner,TotalRuns,ExtrasRuns,WicketDeliveries,Balls,Boundaries,WinLoss,battingStyles_x,bowlingStyles,longBowlingStyles,EconomyRate,StrikeRate,BoundaryPercentage,Selected,Year
A Badoni,"Brabourne Stadium, Mumbai",Rajasthan Royals,MiddleOvers,D Padikkal,1,Rajasthan Royals,1,0,0.0,1,0,0,lhb,ob,right-arm offbreak,6.0,inf,0.0,1,2020
A Badoni,"Brabourne Stadium, Mumbai",Rajasthan Royals,MiddleOvers,R Parag,1,Rajasthan Royals,5,1,0.0,3,0,0,rhb,ob,right-arm offbreak,10.0,inf,0.0,0,2020
A Badoni,"Brabourne Stadium, Mumbai",Rajasthan Royals,MiddleOvers,YBK Jaiswal,1,Rajasthan Royals,0,0,1.0,2,0,0,lhb,ob,right-arm offbreak,0.0,2.0,0.0,1,2020
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Punjab Kings,Powerplay,P Simran Singh,2,Lucknow Super Giants,0,0,0.0,1,0,1,,ob,right-arm offbreak,0.0,inf,0.0,1,2020
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Powerplay,Abhishek Sharma,2,Sunrisers Hyderabad,11,0,0.0,3,2,0,lhb,ob,right-arm offbreak,22.0,inf,66.66666666666666,0,2020
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Powerplay,TM Head,2,Sunrisers Hyderabad,8,0,0.0,3,1,0,lhb,ob,right-arm offbreak,16.0,inf,33.33333333333333,0,2020
A Badoni,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,MiddleOvers,SO Hetmyer,1,Rajasthan Royals,4,0,0.0,4,0,0,lhb,ob,right-arm offbreak,6.0,inf,0.0,1,2020
A Badoni,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,MiddleOvers,SV Samson,1,Rajasthan Royals,2,0,0.0,2,0,0,rhb,ob,right-arm offbreak,6.0,inf,0.0,1,2020
A Badoni,"Wankhede Stadium, Mumbai",Mumbai Indians,MiddleOvers,KA Pollard,2,Lucknow Super Giants,4,0,0.0,3,0,1,,ob,right-arm offbreak,8.0,inf,0.0,0,2020
A Badoni,"Wankhede Stadium, Mumbai",Mumbai Indians,MiddleOvers,SA Yadav,2,Lucknow Super Giants,0,0,1.0,1,0,1,rhb,ob,right-arm offbreak,0.0,1.0,0.0,1,2020
